date,home_team,away_team,home_goals,away_goals,match_importance_tier
2022-04-27,Tunisia,Croatia,2,3,QUALIFIER
2023-09-26,Qatar,Denmark,1,1,FRIENDLY
2021-05-27,Costa Rica,Cameroon,0,0,QUALIFIER
2020-06-13,Mexico,Senegal,3,5,CONFED_CAMP
2019-01-24,Spain,Argentina,1,1,QUALIFIER
2026-03-09,USA,Switzerland,1,2,QUALIFIER
2019-02-17,Cameroon,Colombia,0,0,QUALIFIER
2025-03-08,England,Costa Rica,0,0,QUALIFIER
2023-11-06,Spain,Belgium,5,0,FRIENDLY
2024-02-26,Canada,Portugal,0,0,FRIENDLY
2022-06-22,Canada,Qatar,0,1,FRIENDLY
2021-09-26,Japan,Uruguay,4,0,FRIENDLY
2018-09-15,France,Germany,0,0,QUALIFIER
2019-08-07,Ghana,Portugal,0,0,CONFED_CAMP
2021-08-03,Qatar,Brazil,2,0,QUALIFIER
2021-04-07,South Korea,Switzerland,0,0,FRIENDLY
2024-01-23,England,Senegal,1,0,QUALIFIER
2024-09-08,Australia,Uruguay,1,2,QUALIFIER
2021-04-04,Saudi Arabia,France,0,6,FRIENDLY
2018-05-16,Spain,Costa Rica,6,1,CONFED_CAMP
2025-08-12,Mexico,Argentina,0,0,FRIENDLY
2018-11-25,Denmark,Netherlands,0,1,QUALIFIER
2020-08-22,England,Tunisia,2,2,QUALIFIER
2023-01-20,Qatar,Cameroon,0,3,CONFED_CAMP
2024-11-14,South Korea,Qatar,3,0,QUALIFIER
2021-10-05,France,Japan,4,0,WC_FINAL
2021-01-15,South Korea,Germany,1,0,QUALIFIER
2019-11-30,Switzerland,Colombia,0,3,FRIENDLY
2019-02-17,Argentina,Germany,0,0,WC_FINAL
2024-06-08,USA,Morocco,5,0,CONFED_CAMP
2020-02-12,South Korea,Denmark,3,1,CONFED_CAMP
2019-04-21,Croatia,Morocco,0,0,CONFED_CAMP
2020-01-28,South Korea,Costa Rica,0,3,QUALIFIER
2018-09-08,Morocco,Colombia,0,1,QUALIFIER
2020-11-30,USA,Germany,2,0,CONFED_CAMP
2021-05-18,Cameroon,Colombia,4,0,CONFED_CAMP
2023-08-25,Iran,Croatia,0,0,QUALIFIER
2025-11-04,Denmark,France,1,0,QUALIFIER
2026-03-16,Costa Rica,Poland,2,0,QUALIFIER
2020-04-13,Belgium,Poland,0,0,FRIENDLY
2021-11-03,Spain,South Korea,2,2,QUALIFIER
2022-12-17,Saudi Arabia,Canada,2,1,QUALIFIER
2022-08-06,Ecuador,Cameroon,1,0,QUALIFIER
2025-05-17,Spain,Argentina,10,0,QUALIFIER
2018-02-20,Iran,Portugal,1,0,QUALIFIER
2018-07-07,Netherlands,Mexico,0,1,QUALIFIER
2023-05-28,Cameroon,Senegal,0,3,QUALIFIER
2024-08-14,Mexico,Ecuador,0,0,QUALIFIER
2022-08-25,Portugal,Canada,0,0,QUALIFIER
2025-11-01,Switzerland,Poland,0,0,QUALIFIER
2025-02-23,Ghana,Australia,0,1,FRIENDLY
2025-07-22,Tunisia,Croatia,1,0,QUALIFIER
2025-11-14,Tunisia,Croatia,0,0,CONFED_CAMP
2018-09-19,Spain,Poland,1,1,QUALIFIER
2023-06-19,Canada,Croatia,2,1,QUALIFIER
2021-07-02,Iran,Belgium,0,0,FRIENDLY
2022-08-28,France,Portugal,2,1,FRIENDLY
2019-06-19,Canada,Denmark,0,0,FRIENDLY
2022-09-07,Uruguay,Canada,0,0,QUALIFIER
2026-01-17,Canada,Brazil,9,0,CONFED_CAMP
2024-10-27,France,Ecuador,1,3,QUALIFIER
2020-01-17,Brazil,Costa Rica,5,1,FRIENDLY
2022-06-13,Portugal,Morocco,0,1,QUALIFIER
2023-01-30,South Korea,Spain,1,0,CONFED_CAMP
2023-11-04,Cameroon,South Korea,0,4,FRIENDLY
2021-02-14,Morocco,Croatia,0,0,WC_FINAL
2025-08-21,Spain,Uruguay,0,0,FRIENDLY
2024-05-13,Croatia,Qatar,0,0,FRIENDLY
2023-02-22,Colombia,Serbia,5,5,FRIENDLY
2020-01-01,England,Australia,1,1,QUALIFIER
2018-02-06,Mexico,Argentina,1,1,QUALIFIER
2021-10-14,Serbia,Portugal,4,4,QUALIFIER
2024-12-16,Croatia,Netherlands,1,2,CONFED_CAMP
2024-07-17,Senegal,Serbia,0,1,QUALIFIER
2024-02-25,Mexico,Senegal,4,3,CONFED_CAMP
2026-03-12,Japan,Belgium,0,0,QUALIFIER
2023-11-13,USA,Ecuador,3,1,QUALIFIER
2021-09-07,Ecuador,Tunisia,0,1,CONFED_CAMP
2024-04-16,Costa Rica,Switzerland,0,0,FRIENDLY
2021-11-08,South Korea,Costa Rica,0,2,CONFED_CAMP
2023-08-01,Colombia,Croatia,0,0,QUALIFIER
2026-03-29,Argentina,Poland,2,1,QUALIFIER
2022-03-19,Portugal,USA,1,1,FRIENDLY
2020-03-22,Germany,Belgium,1,0,QUALIFIER
2019-02-06,Denmark,Senegal,0,0,QUALIFIER
2023-06-25,England,Colombia,0,0,CONFED_CAMP
2020-06-20,Spain,Poland,0,4,QUALIFIER
2022-01-08,South Korea,USA,1,1,FRIENDLY
2025-11-15,Morocco,Ghana,1,0,FRIENDLY
2020-04-06,South Korea,Qatar,2,4,QUALIFIER
2020-04-28,Croatia,England,3,2,QUALIFIER
2019-03-05,France,Iran,0,3,QUALIFIER
2024-02-17,Argentina,Brazil,0,0,FRIENDLY
2023-06-22,Argentina,Denmark,0,0,QUALIFIER
2022-09-30,Qatar,Uruguay,4,2,FRIENDLY
2023-08-05,France,Germany,0,2,WC_FINAL
2025-11-30,Uruguay,Croatia,0,1,QUALIFIER
2020-11-18,Argentina,Australia,4,1,QUALIFIER
2026-01-20,Costa Rica,USA,5,0,FRIENDLY
2023-10-17,Croatia,USA,0,0,QUALIFIER
2018-06-16,Ecuador,Canada,0,6,FRIENDLY
2023-01-12,Switzerland,Poland,1,1,FRIENDLY
2025-05-11,Iran,Serbia,0,0,QUALIFIER
2023-12-11,Croatia,Portugal,1,0,QUALIFIER
2023-10-23,USA,Colombia,5,0,FRIENDLY
2020-04-24,Senegal,Tunisia,1,1,FRIENDLY
2023-05-30,Australia,Germany,2,1,FRIENDLY
2018-03-25,Canada,Saudi Arabia,1,0,QUALIFIER
2024-05-24,Spain,Switzerland,1,1,CONFED_CAMP
2020-12-09,Ecuador,Tunisia,1,0,QUALIFIER
2022-04-21,Belgium,Poland,0,0,QUALIFIER
2019-06-06,Japan,Senegal,0,0,FRIENDLY
2021-09-30,Belgium,Croatia,0,0,QUALIFIER
2019-08-01,Qatar,Portugal,3,0,QUALIFIER
2019-09-13,Cameroon,Tunisia,0,3,WC_FINAL
2023-03-25,Australia,Iran,6,0,WC_FINAL
2023-04-13,Argentina,Morocco,1,1,WC_FINAL
2024-12-03,Mexico,Uruguay,1,0,CONFED_CAMP
2024-02-28,Cameroon,France,4,0,QUALIFIER
2023-07-02,South Korea,Belgium,3,0,QUALIFIER
2023-03-29,Switzerland,South Korea,0,5,FRIENDLY
2026-01-01,Senegal,Mexico,3,2,FRIENDLY
2022-05-07,Senegal,South Korea,1,3,QUALIFIER
2020-02-14,Croatia,Denmark,0,0,QUALIFIER
2020-02-20,Iran,Cameroon,0,1,FRIENDLY
2018-11-05,Croatia,Qatar,4,6,QUALIFIER
